iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 12, 2019"
Total Net Assets,"9,714,389,700.43"
Shares Outstanding,"55,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","3.47","137.52","2,451,271.00","337,098,787.92","337,098,787.92","Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity","3.43","223.09","1,491,865.00","332,812,703.53","332,812,703.53","Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity","2.54","1,843.55","134,034.00","247,098,380.70","247,098,380.70","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.49","187.47","774,500.00","145,195,515.00","145,195,515.00","Communication","B7TL820","US30303M1027","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.38","211.37","633,959.00","133,999,913.83","133,999,913.83","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.27","117.91","1,045,282.00","123,249,200.62","123,249,200.62","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.25","1,234.25","98,492.00","121,563,751.00","121,563,751.00","Communication","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.23","1,234.97","97,038.00","119,839,018.86","119,839,018.86","Communication","BYVY8G0","US02079K3059","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.16","130.43","860,899.00","112,287,056.57","112,287,056.57","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.03","177.98","563,783.00","100,342,098.34","100,342,098.34","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.02","71.98","1,371,875.00","98,747,562.50","98,747,562.50","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.01","122.77","801,068.00","98,347,118.36","98,347,118.36","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.93","38.38","2,366,011.00","90,807,502.18","90,807,502.18","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.86","233.80","357,178.00","83,508,216.40","83,508,216.40","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.85","29.67","2,787,640.00","82,709,278.80","82,709,278.80","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.83","60.43","1,341,236.00","81,050,891.48","81,050,891.48","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.83","276.40","290,908.00","80,406,971.20","80,406,971.20","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.80","137.50","565,804.00","77,798,050.00","77,798,050.00","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"INTC","INTEL CORP","Equity","0.79","53.01","1,452,037.00","76,972,481.37","76,972,481.37","Information Technology","2463247","US4581401001","NASDAQ"
"CVX","CHEVRON CORP","Equity","0.77","121.42","617,815.00","75,015,097.30","75,015,097.30","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.73","49.93","1,427,749.00","71,287,507.57","71,287,507.57","Information Technology","2198163","US17275R1023","NASDAQ"
"UNH","UNITEDHEALTH GROUP INC","Equity","0.73","230.10","306,304.00","70,480,550.40","70,480,550.40","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.72","83.31","834,756.00","69,543,522.36","69,543,522.36","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","0.71","46.97","1,459,594.00","68,557,130.18","68,557,130.18","Communication","2044545","US20030N1019","NASDAQ"
"KO","COCA-COLA","Equity","0.70","55.11","1,242,331.00","68,464,861.41","68,464,861.41","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.69","37.28","1,802,988.00","67,215,392.64","67,215,392.64","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.66","375.63","171,521.00","64,428,433.23","64,428,433.23","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","0.66","48.65","1,312,395.00","63,848,016.75","63,848,016.75","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.64","137.29","453,925.00","62,319,363.25","62,319,363.25","Consumer Staples","2681511","US7134481081","NASDAQ"
"WMT","WALMART INC","Equity","0.55","116.92","455,108.00","53,211,227.36","53,211,227.36","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.54","212.15","248,672.00","52,755,764.80","52,755,764.80","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.53","69.30","749,145.00","51,915,748.50","51,915,748.50","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.49","110.38","434,964.00","48,011,326.32","48,011,326.32","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.49","85.21","558,109.00","47,556,467.89","47,556,467.89","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"ADBE","ADOBE INC","Equity","0.45","278.02","157,829.00","43,879,618.58","43,879,618.58","Information Technology","2008154","US00724F1012","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.43","143.62","287,603.00","41,305,542.86","41,305,542.86","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.43","289.89","142,462.00","41,298,309.18","41,298,309.18","Consumer Staples","2701271","US22160K1051","NASDAQ"
"CRM","SALESFORCE.COM INC","Equity","0.42","154.75","265,708.00","41,118,313.00","41,118,313.00","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.42","107.10","380,947.00","40,799,423.70","40,799,423.70","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"ACN","ACCENTURE PLC CLASS A","Equity","0.42","195.52","206,622.00","40,398,733.44","40,398,733.44","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.41","53.89","744,720.00","40,132,960.80","40,132,960.80","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.41","168.63","235,844.00","39,770,373.72","39,770,373.72","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.41","130.22","304,067.00","39,595,604.74","39,595,604.74","Information Technology","2885409","US8825081040","NASDAQ"
"NFLX","NETFLIX INC","Equity","0.41","288.86","136,560.00","39,446,721.60","39,446,721.60","Communication","2857817","US64110L1061","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.40","167.71","229,611.00","38,508,060.81","38,508,060.81","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.39","194.00","197,769.00","38,367,186.00","38,367,186.00","Health Care","2023607","US0311621009","NASDAQ"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.39","294.97","129,320.00","38,145,520.40","38,145,520.40","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.39","74.90","503,085.00","37,681,066.50","37,681,066.50","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"AVGO","BROADCOM INC","Equity","0.39","300.58","125,311.00","37,665,980.38","37,665,980.38","Information Technology","BDZ78H9","US11135F1012","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.37","92.06","392,696.00","36,151,593.76","36,151,593.76","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.37","137.46","262,822.00","36,127,512.12","36,127,512.12","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.36","87.67","399,163.00","34,994,620.21","34,994,620.21","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.36","184.27","188,847.00","34,798,836.69","34,798,836.69","Information Technology","2379504","US67066G1040","NASDAQ"
"NEE","NEXTERA ENERGY INC","Equity","0.35","220.74","154,861.00","34,184,017.14","34,184,017.14","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.35","70.83","478,645.00","33,902,425.35","33,902,425.35","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"LIN","LINDE PLC","Equity","0.35","191.57","175,605.00","33,640,649.85","33,640,649.85","Materials","BZ12WP8","IE00BZ12WP82","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.32","218.85","142,276.00","31,137,102.60","31,137,102.60","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.32","79.08","393,694.00","31,133,321.52","31,133,321.52","Information Technology","2714923","US7475251036","NASDAQ"
"LLY","ELI LILLY","Equity","0.32","111.47","278,430.00","31,036,592.10","31,036,592.10","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"MMM","3M","Equity","0.32","170.58","181,525.00","30,964,534.50","30,964,534.50","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.32","386.63","80,054.00","30,951,278.02","30,951,278.02","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.30","113.88","258,118.00","29,394,477.84","29,394,477.84","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.30","141.74","206,065.00","29,207,653.10","29,207,653.10","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
